"step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MAX"
"2500","2520","2520","2520","3.234284591674805","3.234284591674805","3.234284591674805","2520","2520","2520","3.341996765136719","3.341996765136719","3.341996765136719","2520","2520","2520","3.1845781326293947","3.1845781326293947","3.1845781326293947","2520","2520","2520","3.472685623168945","3.472685623168945","3.472685623168945","2520","2520","2520","3.402517318725586","3.402517318725586","3.402517318725586","2520","2520","2520","3.5404438018798827","3.5404438018798827","3.5404438018798827"
"2625","2646","2646","2646","3.2250782012939454","3.2250782012939454","3.2250782012939454","2646","2646","2646","3.3311668395996095","3.3311668395996095","3.3311668395996095","2646","2646","2646","3.1740583419799804","3.1740583419799804","3.1740583419799804","2646","2646","2646","3.444222640991211","3.444222640991211","3.444222640991211","2646","2646","2646","3.376559829711914","3.376559829711914","3.376559829711914","2646","2646","2646","3.5067169189453127","3.5067169189453127","3.5067169189453127"
"2750","2772","2772","2772","3.217283248901367","3.217283248901367","3.217283248901367","2772","2772","2772","3.314175033569336","3.314175033569336","3.314175033569336","2772","2772","2772","3.1674524307250977","3.1674524307250977","3.1674524307250977","2772","2772","2772","3.4168746948242186","3.4168746948242186","3.4168746948242186","2772","2772","2772","3.34979133605957","3.34979133605957","3.34979133605957","2772","2772","2772","3.4731815338134764","3.4731815338134764","3.4731815338134764"
"2875","2898","2898","2898","3.207295227050781","3.207295227050781","3.207295227050781","2898","2898","2898","3.300933074951172","3.300933074951172","3.300933074951172","2898","2898","2898","3.1584949493408203","3.1584949493408203","3.1584949493408203","2898","2898","2898","3.3919567108154296","3.3919567108154296","3.3919567108154296","2898","2898","2898","3.3260967254638674","3.3260967254638674","3.3260967254638674","2898","2898","2898","3.444843292236328","3.444843292236328","3.444843292236328"
"3000","3024","3024","3024","3.199658203125","3.199658203125","3.199658203125","3024","3024","3024","3.289803695678711","3.289803695678711","3.289803695678711","3024","3024","3024","3.1519287109375","3.1519287109375","3.1519287109375","3024","3024","3024","3.376688003540039","3.376688003540039","3.376688003540039","3024","3024","3024","3.311993408203125","3.311993408203125","3.311993408203125","3024","3024","3024","3.4256881713867187","3.4256881713867187","3.4256881713867187"
"3125","3150","3150","3150","3.191140365600586","3.191140365600586","3.191140365600586","3150","3150","3150","3.2784934997558595","3.2784934997558595","3.2784934997558595","3150","3150","3150","3.145216178894043","3.145216178894043","3.145216178894043","","","","","","","","","","","","","","","","","",""
"3250","3276","3276","3276","3.178644561767578","3.178644561767578","3.178644561767578","3276","3276","3276","3.262964630126953","3.262964630126953","3.262964630126953","3276","3276","3276","3.1333335876464843","3.1333335876464843","3.1333335876464843","","","","","","","","","","","","","","","","","",""
"3375","3402","3402","3402","3.159222412109375","3.159222412109375","3.159222412109375","3402","3402","3402","3.2416236877441404","3.2416236877441404","3.2416236877441404","3402","3402","3402","3.1150880813598634","3.1150880813598634","3.1150880813598634","","","","","","","","","","","","","","","","","",""
"3500","3528","3528","3528","3.139185333251953","3.139185333251953","3.139185333251953","3528","3528","3528","3.2202808380126955","3.2202808380126955","3.2202808380126955","3528","3528","3528","3.0959354400634767","3.0959354400634767","3.0959354400634767","","","","","","","","","","","","","","","","","",""
"3625","3654","3654","3654","3.1191587448120117","3.1191587448120117","3.1191587448120117","3654","3654","3654","3.1985111236572266","3.1985111236572266","3.1985111236572266","3654","3654","3654","3.0765581130981445","3.0765581130981445","3.0765581130981445","","","","","","","","","","","","","","","","","",""
"3750","3780","3780","3780","3.101475143432617","3.101475143432617","3.101475143432617","3780","3780","3780","3.1786731719970702","3.1786731719970702","3.1786731719970702","3780","3780","3780","3.0594797134399414","3.0594797134399414","3.0594797134399414","","","","","","","","","","","","","","","","","",""
"3875","3906","3906","3906","3.085133934020996","3.085133934020996","3.085133934020996","3906","3906","3906","3.1613771438598635","3.1613771438598635","3.1613771438598635","3906","3906","3906","3.0439558029174805","3.0439558029174805","3.0439558029174805","","","","","","","","","","","","","","","","","",""
"4000","4032","4032","4032","3.075247383117676","3.075247383117676","3.075247383117676","4032","4032","4032","3.149410057067871","3.149410057067871","3.149410057067871","4032","4032","4032","3.03488712310791","3.03488712310791","3.03488712310791","","","","","","","","","","","","","","","","","",""
