Step,muon (0.03) - val/loss,muon (0.03) - val/loss__MIN,muon (0.03) - val/loss__MAX,dion_4 (0.02) - val/loss,dion_4 (0.02) - val/loss__MIN,dion_4 (0.02) - val/loss__MAX,dion_2 (0.03) - val/loss,dion_2 (0.03) - val/loss__MIN,dion_2 (0.03) - val/loss__MAX,adam (0.002) - val/loss,adam (0.002) - val/loss__MIN,adam (0.002) - val/loss__MAX,dion_1 (0.03) - val/loss,dion_1 (0.03) - val/loss__MIN,dion_1 (0.03) - val/loss__MAX,demo (0.001) - val/loss,demo (0.001) - val/loss__MIN,demo (0.001) - val/loss__MAX,dion_8 (0.02) - val/loss,dion_8 (0.02) - val/loss__MIN,dion_8 (0.02) - val/loss__MAX,dion_16 (0.01) - val/loss,dion_16 (0.01) - val/loss__MIN,dion_16 (0.01) - val/loss__MAX
2200,,,,,,,,,,,,,,,,3.5571712493896483,3.5571712493896483,3.5571712493896483,,,,3.437203216552734,3.437203216552734,3.437203216552734
2250,,,,,,,,,,,,,,,,3.5446292877197267,3.5446292877197267,3.5446292877197267,,,,3.430657958984375,3.430657958984375,3.430657958984375
2300,,,,,,,,,,,,,,,,3.5462066650390627,3.5462066650390627,3.5462066650390627,,,,3.423442077636719,3.423442077636719,3.423442077636719
2350,,,,,,,,,,,,,,,,3.5389976501464844,3.5389976501464844,3.5389976501464844,,,,3.4192123413085938,3.4192123413085938,3.4192123413085938
2400,,,,,,,,,,,,,,,,3.5299217224121096,3.5299217224121096,3.5299217224121096,,,,3.412416458129883,3.412416458129883,3.412416458129883
2450,,,,,,,,,,,,,,,,3.517979049682617,3.517979049682617,3.517979049682617,,,,3.4059520721435548,3.4059520721435548,3.4059520721435548
2500,,,,,,,,,,,,,,,,3.511309051513672,3.511309051513672,3.511309051513672,,,,3.397715377807617,3.397715377807617,3.397715377807617
2550,,,,,,,,,,,,,,,,3.5158969879150392,3.5158969879150392,3.5158969879150392,,,,3.3819816589355467,3.3819816589355467,3.3819816589355467
2600,,,,,,,,,,,,,,,,3.5052738189697266,3.5052738189697266,3.5052738189697266,,,,3.365514755249023,3.365514755249023,3.365514755249023
2650,,,,,,,,,,,,,,,,3.493896484,3.493896484,3.493896484,,,,3.352284622192383,3.352284622192383,3.352284622192383
2700,,,,,,,,,,,,,,,,3.492674637,3.492674637,3.492674637,,,,3.3449642181396486,3.3449642181396486,3.3449642181396486
2750,,,,,,,,,,,,,,,,3.485095977783203,3.485095977783203,3.485095977783203,,,,,,
2800,,,,,,,,,,,,,,,,3.484369659423828,3.484369659423828,3.484369659423828,,,,,,
2850,,,,,,,,,,,,,,,,3.4848121643066405,3.4848121643066405,3.4848121643066405,,,,,,
2900,,,,,,,,,,,,,,,,3.471456527709961,3.471456527709961,3.471456527709961,,,,,,
2950,,,,,,,,,,,,,,,,3.464097213745118,3.464097213745118,3.464097213745118,,,,,,
3000,,,,,,,,,,,,,,,,3.4596446990966796,3.4596446990966796,3.4596446990966796,,,,,,
3050,,,,,,,,,,,,,,,,3.453767013549805,3.453767013549805,3.453767013549805,,,,,,
3100,,,,,,,,,,,,,,,,3.451809310913086,3.451809310913086,3.451809310913086,,,,,,
3150,,,,,,,,,,,,,,,,3.4477333068847655,3.4477333068847655,3.4477333068847655,,,,,,
3200,,,,,,,,,,,,,,,,3.444367218017578,3.444367218017578,3.444367218017578,,,,,,
3250,,,,,,,,,,,,,,,,3.441105651855469,3.441105651855469,3.441105651855469,,,,,,
3300,,,,,,,,,,,,,,,,3.434260559082031,3.434260559082031,3.434260559082031,,,,,,
3350,,,,,,,,,,,,,,,,3.4306243896484374,3.4306243896484374,3.4306243896484374,,,,,,
3400,,,,,,,,,,,,,,,,3.4305488586425783,3.4305488586425783,3.4305488586425783,,,,,,
3450,,,,,,,,,,,,,,,,3.4279876708984376,3.4279876708984376,3.4279876708984376,,,,,,
3500,,,,,,,,,,,,,,,,3.423495864868164,3.423495864868164,3.423495864868164,,,,,,
3550,,,,,,,,,,,,,,,,3.420867156982422,3.420867156982422,3.420867156982422,,,,,,
3600,,,,,,,,,,,,,,,,3.4146987915039064,3.4146987915039064,3.4146987915039064,,,,,,
3650,,,,,,,,,,,,,,,,3.4091243743896484,3.4091243743896484,3.4091243743896484,,,,,,
3700,,,,,,,,,,,,,,,,3.405079650878906,3.405079650878906,3.405079650878906,,,,,,
3750,,,,,,,,,,,,,,,,3.4012359619140624,3.4012359619140624,3.4012359619140624,,,,,,
3800,,,,,,,,,,,,,,,,3.4007781982421874,3.4007781982421874,3.4007781982421874,,,,,,
3850,,,,,,,,,,,,,,,,3.3985267639160157,3.3985267639160157,3.3985267639160157,,,,,,
3900,,,,,,,,,,,,,,,,3.397151565551758,3.397151565551758,3.397151565551758,,,,,,
3950,,,,,,,,,,,,,,,,3.393754577636719,3.393754577636719,3.393754577636719,,,,,,
4000,,,,,,,,,,,,,,,,3.3890617370605467,3.3890617370605467,3.3890617370605467,,,,,,
4050,,,,,,,,,,,,,,,,3.3639858245849608,3.3639858245849608,3.3639858245849608,,,,,,
4100,,,,,,,,,,,,,,,,3.3433876037597656,3.3433876037597656,3.3433876037597656,,,,,,
4150,,,,,,,,,,,,,,,,3.333276367,3.333276367,3.333276367,,,,,,
4200,,,,,,,,,,,,,,,,3.3289535522460936,3.3289535522460936,3.3289535522460936,,,,,,
